timestep,metrics,total_pos_label
39,"[('True Negtaives', 1102), ('False Positives', 0), ('False Negtaives', 14), ('True Positives', 67), ('Accuracy', 0.9881656804733728), ('Precision', 1.0), ('Recall', 0.8271604938271605), ('F1 Score', 0.9054054054054054), ('Specificity', 1.0), ('NPV', 0.9874551971326165), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9037609908003393), ('Confusion Matrix', (1102, 0, 14, 67)), ('ROC_AUC', 0.992157917142793), ('AUCPR', 0.9645914444217922)]",81
40,"[('True Negtaives', 1098), ('False Positives', 1), ('False Negtaives', 55), ('True Positives', 57), ('Accuracy', 0.953757225433526), ('Precision', 0.9827586206896551), ('Recall', 0.5089285714285714), ('F1 Score', 0.6705882352941177), ('Specificity', 0.9990900818926297), ('NPV', 0.9522983521248916), ('FPR', 0.0009099181073703367), ('FDR', 0.017241379310344827), ('MCC', 0.6892215783823407), ('Confusion Matrix', (1098, 1, 55, 57)), ('ROC_AUC', 0.8803701416872481), ('AUCPR', 0.7354994377675917)]",112
41,"[('True Negtaives', 1016), ('False Positives', 0), ('False Negtaives', 19), ('True Positives', 97), ('Accuracy', 0.9832155477031802), ('Precision', 1.0), ('Recall', 0.8362068965517241), ('F1 Score', 0.9107981220657276), ('Specificity', 1.0), ('NPV', 0.9816425120772947), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9060111691074194), ('Confusion Matrix', (1016, 0, 19, 97)), ('ROC_AUC', 0.988375644854738), ('AUCPR', 0.9631019567858278)]",116
42,"[('True Negtaives', 1908), ('False Positives', 7), ('False Negtaives', 61), ('True Positives', 178), ('Accuracy', 0.968430826369545), ('Precision', 0.9621621621621622), ('Recall', 0.7447698744769874), ('F1 Score', 0.8396226415094339), ('Specificity', 0.9963446475195823), ('NPV', 0.9690198070086338), ('FPR', 0.0036553524804177544), ('FDR', 0.03783783783783784), ('MCC', 0.8307300885208379), ('Confusion Matrix', (1908, 7, 61, 178)), ('ROC_AUC', 0.9491243977845025), ('AUCPR', 0.8830965790210565)]",239
43,"[('True Negtaives', 1346), ('False Positives', 0), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9824817518248176), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9824817518248176), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1346, 0, 24, 0)), ('ROC_AUC', 0.7091691431401684), ('AUCPR', 0.041238727273949165)]",24
44,"[('True Negtaives', 1567), ('False Positives', 0), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9849151477058454), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9849151477058454), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1567, 0, 24, 0)), ('ROC_AUC', 0.7585620080833865), ('AUCPR', 0.04455139390757969)]",24
45,"[('True Negtaives', 1215), ('False Positives', 1), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.995085995085995), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9991776315789473), ('NPV', 0.9959016393442623), ('FPR', 0.0008223684210526315), ('FDR', 1.0), ('MCC', -0.001835854673268896), ('Confusion Matrix', (1215, 1, 5, 0)), ('ROC_AUC', 0.8328125), ('AUCPR', 0.07814752898818032)]",5
46,"[('True Negtaives', 710), ('False Positives', 0), ('False Negtaives', 2), ('True Positives', 0), ('Accuracy', 0.9971910112359551), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9971910112359551), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (710, 0, 2, 0)), ('ROC_AUC', 0.9380281690140846), ('AUCPR', 0.2612359550561798)]",2
47,"[('True Negtaives', 824), ('False Positives', 0), ('False Negtaives', 22), ('True Positives', 0), ('Accuracy', 0.9739952718676123), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9739952718676123), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (824, 0, 22, 0)), ('ROC_AUC', 0.7573367166813769), ('AUCPR', 0.08537627338369021)]",22
48,"[('True Negtaives', 435), ('False Positives', 0), ('False Negtaives', 36), ('True Positives', 0), ('Accuracy', 0.9235668789808917), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9235668789808917), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (435, 0, 36, 0)), ('ROC_AUC', 0.8818326947637292), ('AUCPR', 0.4121246327812159)]",36
49,"[('True Negtaives', 420), ('False Positives', 0), ('False Negtaives', 54), ('True Positives', 2), ('Accuracy', 0.8865546218487395), ('Precision', 1.0), ('Recall', 0.03571428571428571), ('F1 Score', 0.0689655172413793), ('Specificity', 1.0), ('NPV', 0.8860759493670886), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.177892016741205), ('Confusion Matrix', (420, 0, 54, 2)), ('ROC_AUC', 0.9551020408163264), ('AUCPR', 0.7928065703537192)]",56
