timestep,metrics,total_pos_label
34,"[('True Negtaives', 478), ('False Positives', 0), ('False Negtaives', 37), ('True Positives', 0), ('Accuracy', 0.9281553398058252), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9281553398058252), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (478, 0, 37, 0)), ('ROC_AUC', 0.5709035395227865), ('AUCPR', 0.0862868551357032)]",37
35,"[('True Negtaives', 1158), ('False Positives', 1), ('False Negtaives', 182), ('True Positives', 0), ('Accuracy', 0.8635346756152126), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.999137187230371), ('NPV', 0.8641791044776119), ('FPR', 0.0008628127696289905), ('FDR', 1.0), ('MCC', -0.01082534078166417), ('Confusion Matrix', (1158, 1, 182, 0)), ('ROC_AUC', 0.6249940740881206), ('AUCPR', 0.16259568080815712)]",182
36,"[('True Negtaives', 1675), ('False Positives', 0), ('False Negtaives', 33), ('True Positives', 0), ('Accuracy', 0.9806791569086651), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9806791569086651), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1675, 0, 33, 0)), ('ROC_AUC', 0.6098597919493443), ('AUCPR', 0.024000406080951026)]",33
37,"[('True Negtaives', 454), ('False Positives', 4), ('False Negtaives', 40), ('True Positives', 0), ('Accuracy', 0.9116465863453815), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9912663755458515), ('NPV', 0.9190283400809717), ('FPR', 0.008733624454148471), ('FDR', 1.0), ('MCC', -0.026592782275681865), ('Confusion Matrix', (454, 4, 40, 0)), ('ROC_AUC', 0.4108078602620087), ('AUCPR', 0.06394020122871977)]",40
38,"[('True Negtaives', 644), ('False Positives', 1), ('False Negtaives', 111), ('True Positives', 0), ('Accuracy', 0.8518518518518519), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9984496124031008), ('NPV', 0.8529801324503311), ('FPR', 0.0015503875968992248), ('FDR', 1.0), ('MCC', -0.015097608391621949), ('Confusion Matrix', (644, 1, 111, 0)), ('ROC_AUC', 0.49786996298624203), ('AUCPR', 0.13259964663260299)]",111
39,"[('True Negtaives', 1098), ('False Positives', 4), ('False Negtaives', 81), ('True Positives', 0), ('Accuracy', 0.9281487743026204), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9963702359346642), ('NPV', 0.9312977099236641), ('FPR', 0.003629764065335753), ('FDR', 1.0), ('MCC', -0.015791551656672533), ('Confusion Matrix', (1098, 4, 81, 0)), ('ROC_AUC', 0.3408505299007416), ('AUCPR', 0.04937459365405999)]",81
40,"[('True Negtaives', 1099), ('False Positives', 0), ('False Negtaives', 112), ('True Positives', 0), ('Accuracy', 0.9075144508670521), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9075144508670521), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1099, 0, 112, 0)), ('ROC_AUC', 0.5835987261146497), ('AUCPR', 0.10062282144066484)]",112
41,"[('True Negtaives', 1016), ('False Positives', 0), ('False Negtaives', 116), ('True Positives', 0), ('Accuracy', 0.8975265017667845), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8975265017667845), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1016, 0, 116, 0)), ('ROC_AUC', 0.6495978142818354), ('AUCPR', 0.1309078696683969)]",116
42,"[('True Negtaives', 1915), ('False Positives', 0), ('False Negtaives', 239), ('True Positives', 0), ('Accuracy', 0.8890436397400185), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8890436397400185), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1915, 0, 239, 0)), ('ROC_AUC', 0.5916864218840467), ('AUCPR', 0.12602330283934413)]",239
43,"[('True Negtaives', 1346), ('False Positives', 0), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9824817518248176), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9824817518248176), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1346, 0, 24, 0)), ('ROC_AUC', 0.6530770183259039), ('AUCPR', 0.07550428234104434)]",24
44,"[('True Negtaives', 1567), ('False Positives', 0), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9849151477058454), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9849151477058454), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1567, 0, 24, 0)), ('ROC_AUC', 0.6246277387789833), ('AUCPR', 0.06330949716155897)]",24
45,"[('True Negtaives', 1215), ('False Positives', 1), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.995085995085995), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9991776315789473), ('NPV', 0.9959016393442623), ('FPR', 0.0008223684210526315), ('FDR', 1.0), ('MCC', -0.001835854673268896), ('Confusion Matrix', (1215, 1, 5, 0)), ('ROC_AUC', 0.7542763157894736), ('AUCPR', 0.011985965934032923)]",5
46,"[('True Negtaives', 710), ('False Positives', 0), ('False Negtaives', 2), ('True Positives', 0), ('Accuracy', 0.9971910112359551), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9971910112359551), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (710, 0, 2, 0)), ('ROC_AUC', 0.2112676056338028), ('AUCPR', 0.002597265271325002)]",2
47,"[('True Negtaives', 824), ('False Positives', 0), ('False Negtaives', 22), ('True Positives', 0), ('Accuracy', 0.9739952718676123), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9739952718676123), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (824, 0, 22, 0)), ('ROC_AUC', 0.4184686672550751), ('AUCPR', 0.021553725605808177)]",22
48,"[('True Negtaives', 435), ('False Positives', 0), ('False Negtaives', 36), ('True Positives', 0), ('Accuracy', 0.9235668789808917), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9235668789808917), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (435, 0, 36, 0)), ('ROC_AUC', 0.49540229885057474), ('AUCPR', 0.08074118674622248)]",36
49,"[('True Negtaives', 420), ('False Positives', 0), ('False Negtaives', 56), ('True Positives', 0), ('Accuracy', 0.8823529411764706), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8823529411764706), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (420, 0, 56, 0)), ('ROC_AUC', 0.5478316326530612), ('AUCPR', 0.14999216863360282)]",56
