timestep,metrics,total_pos_label
35,"[('True Negtaives', 1078), ('False Positives', 81), ('False Negtaives', 181), ('True Positives', 1), ('Accuracy', 0.8046234153616704), ('Precision', 0.012195121951219513), ('Recall', 0.005494505494505495), ('F1 Score', 0.007575757575757577), ('Specificity', 0.9301121656600517), ('NPV', 0.8562351072279587), ('FPR', 0.06988783433994823), ('FDR', 0.9878048780487805), ('MCC', -0.0920446387280906), ('Confusion Matrix', (1078, 81, 181, 1)), ('ROC_AUC', 0.6694526353715309), ('AUCPR', 0.17525530412271967)]",182
36,"[('True Negtaives', 1675), ('False Positives', 0), ('False Negtaives', 33), ('True Positives', 0), ('Accuracy', 0.9806791569086651), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9806791569086651), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1675, 0, 33, 0)), ('ROC_AUC', 0.7025418362731796), ('AUCPR', 0.030417815351299112)]",33
37,"[('True Negtaives', 457), ('False Positives', 1), ('False Negtaives', 40), ('True Positives', 0), ('Accuracy', 0.9176706827309237), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9978165938864629), ('NPV', 0.9195171026156942), ('FPR', 0.002183406113537118), ('FDR', 1.0), ('MCC', -0.013256200442965318), ('Confusion Matrix', (457, 1, 40, 0)), ('ROC_AUC', 0.5265829694323143), ('AUCPR', 0.08614745338031465)]",40
38,"[('True Negtaives', 643), ('False Positives', 2), ('False Negtaives', 110), ('True Positives', 1), ('Accuracy', 0.8518518518518519), ('Precision', 0.3333333333333333), ('Recall', 0.009009009009009009), ('F1 Score', 0.017543859649122806), ('Specificity', 0.9968992248062015), ('NPV', 0.8539176626826029), ('FPR', 0.0031007751937984496), ('FDR', 0.6666666666666666), ('MCC', 0.03326142911230984), ('Confusion Matrix', (643, 2, 110, 1)), ('ROC_AUC', 0.5132900342202669), ('AUCPR', 0.14516495835713056)]",111
39,"[('True Negtaives', 1100), ('False Positives', 2), ('False Negtaives', 81), ('True Positives', 0), ('Accuracy', 0.9298393913778529), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9981851179673321), ('NPV', 0.9314140558848434), ('FPR', 0.0018148820326678765), ('FDR', 1.0), ('MCC', -0.011156854290890462), ('Confusion Matrix', (1100, 2, 81, 0)), ('ROC_AUC', 0.6667226815442182), ('AUCPR', 0.10043175069412252)]",81
40,"[('True Negtaives', 1095), ('False Positives', 4), ('False Negtaives', 112), ('True Positives', 0), ('Accuracy', 0.9042113955408753), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9963603275705186), ('NPV', 0.9072079536039768), ('FPR', 0.003639672429481347), ('FDR', 1.0), ('MCC', -0.018377503991096278), ('Confusion Matrix', (1095, 4, 112, 0)), ('ROC_AUC', 0.5827700506954375), ('AUCPR', 0.09993583309528441)]",112
41,"[('True Negtaives', 1013), ('False Positives', 3), ('False Negtaives', 116), ('True Positives', 0), ('Accuracy', 0.8948763250883393), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9970472440944882), ('NPV', 0.8972542072630647), ('FPR', 0.002952755905511811), ('FDR', 1.0), ('MCC', -0.017417900168231484), ('Confusion Matrix', (1013, 3, 116, 0)), ('ROC_AUC', 0.7560327857724681), ('AUCPR', 0.19252734931531626)]",116
42,"[('True Negtaives', 1911), ('False Positives', 4), ('False Negtaives', 239), ('True Positives', 0), ('Accuracy', 0.8871866295264624), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.997911227154047), ('NPV', 0.8888372093023256), ('FPR', 0.0020887728459530026), ('FDR', 1.0), ('MCC', -0.015237907293643027), ('Confusion Matrix', (1911, 4, 239, 0)), ('ROC_AUC', 0.6952183270153053), ('AUCPR', 0.17172942590906237)]",239
43,"[('True Negtaives', 1271), ('False Positives', 75), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9277372262773723), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9442793462109955), ('NPV', 0.9814671814671815), ('FPR', 0.05572065378900446), ('FDR', 1.0), ('MCC', -0.03213503952388463), ('Confusion Matrix', (1271, 75, 24, 0)), ('ROC_AUC', 0.5359707776126796), ('AUCPR', 0.018209356389972384)]",24
44,"[('True Negtaives', 1554), ('False Positives', 13), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9767441860465116), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9917038927887684), ('NPV', 0.9847908745247148), ('FPR', 0.008296107211231652), ('FDR', 1.0), ('MCC', -0.011232832925493033), ('Confusion Matrix', (1554, 13, 24, 0)), ('ROC_AUC', 0.4972612210168049), ('AUCPR', 0.017860150751955323)]",24
45,"[('True Negtaives', 1207), ('False Positives', 9), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9885339885339886), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9925986842105263), ('NPV', 0.9958745874587459), ('FPR', 0.007401315789473684), ('FDR', 1.0), ('MCC', -0.005525710902651071), ('Confusion Matrix', (1207, 9, 5, 0)), ('ROC_AUC', 0.6095394736842106), ('AUCPR', 0.006324958810266903)]",5
46,"[('True Negtaives', 710), ('False Positives', 0), ('False Negtaives', 2), ('True Positives', 0), ('Accuracy', 0.9971910112359551), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9971910112359551), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (710, 0, 2, 0)), ('ROC_AUC', 0.7345070422535211), ('AUCPR', 0.052702702702702706)]",2
47,"[('True Negtaives', 823), ('False Positives', 1), ('False Negtaives', 22), ('True Positives', 0), ('Accuracy', 0.9728132387706856), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9987864077669902), ('NPV', 0.9739644970414201), ('FPR', 0.0012135922330097086), ('FDR', 1.0), ('MCC', -0.005621075001548533), ('Confusion Matrix', (823, 1, 22, 0)), ('ROC_AUC', 0.5745255957634599), ('AUCPR', 0.02956051251337624)]",22
48,"[('True Negtaives', 432), ('False Positives', 3), ('False Negtaives', 36), ('True Positives', 0), ('Accuracy', 0.9171974522292994), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.993103448275862), ('NPV', 0.9230769230769231), ('FPR', 0.006896551724137931), ('FDR', 1.0), ('MCC', -0.023032671985243936), ('Confusion Matrix', (432, 3, 36, 0)), ('ROC_AUC', 0.6018518518518519), ('AUCPR', 0.09311555673884499)]",36
49,"[('True Negtaives', 419), ('False Positives', 1), ('False Negtaives', 56), ('True Positives', 0), ('Accuracy', 0.8802521008403361), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9976190476190476), ('NPV', 0.8821052631578947), ('FPR', 0.002380952380952381), ('FDR', 1.0), ('MCC', -0.01675415633166782), ('Confusion Matrix', (419, 1, 56, 0)), ('ROC_AUC', 0.3602891156462585), ('AUCPR', 0.08833339874351256)]",56
